指标,真值,均值,标准差
分群 ARI(全体),—,0.4446,0.0661
分群 ARI(高活跃≥8笔),—,0.6259,0.2095
DML 促销效应,0.4,0.3957,0.0059
朴素 促销效应,"(混淆,真值仍0.4)",0.1831,0.0469
DML 价格弹性,-0.6,-0.5988,0.0082
