群体,DML因果效应,标准误,95%CI下,95%CI上,样本数,朴素均值差
全体(ATE),-2.495,1.251,-4.947,-0.044,42720,7.183
促销敏感型,-17.977,19.445,-56.089,20.135,2296,
促销敏感型2,1.172,1.317,-1.409,3.753,1477,
流失预警型,-12.134,6.827,-25.514,1.246,1303,
生鲜高频型,-1.93,1.648,-5.16,1.3,1263,
类目集中型,-3.245,1.025,-5.254,-1.236,1401,
高价值稳定型,-1.449,0.392,-2.218,-0.68,24548,
高价值稳定型2,-0.544,0.579,-1.679,0.591,10432,
