segment,人数,群体总销售额,人均消费金额,购买频次,促销响应率,最近购买间隔,复购率,流失风险,营销价值得分,价值排名,销售贡献占比
高价值稳定型,534,221613.76,415.007,9.288,0.181,27.049,1.0,27.049,0.609,1,0.486
促销敏感型2,439,25832.84,58.845,1.157,0.38,59.403,0.125,59.403,0.597,2,0.057
高价值稳定型2,680,120851.03,177.722,2.932,0.209,32.022,0.7,32.022,0.537,3,0.265
促销敏感型,258,41051.89,159.116,2.198,0.268,56.101,0.5,56.101,0.536,4,0.09
流失预警型,212,22186.29,104.652,1.448,0.245,73.25,0.325,73.25,0.441,5,0.049
类目集中型,235,11889.72,50.595,1.277,0.209,56.217,0.187,56.217,0.398,6,0.026
生鲜高频型,253,12376.37,48.918,1.209,0.025,54.383,0.174,54.383,0.126,7,0.027
