实验,规则数,平均置信度,平均提升度,高效用组合数,Top组合效用,商品级,小类级,中类级,高效用组合,合计可用规则
E1_商品级FP,9.0,0.2236,3.883,,,,,,,
E2_小类级FP,73.0,0.4591,2.47,,,,,,,
E3_HUIM小类,40.0,,,40.0,10051.8,,,,,
E4_层级融合,,,,,,9.0,73.0,20.0,40.0,102.0
