原始单位,归一单位
千克,千克
KG,千克
kg,千克
Kg,千克
公斤,千克
散称,千克
袋,袋
d袋,袋
盒,盒
合,盒
副,副
付,副
代,代
装,未知单位
2,未知单位
快,未知单位
一般,未知单位
160g,未知单位
0,未知单位
