实验,轮廓系数,DB指数,CH指数,群体数,噪声占比,轮廓系数_嵌入空间
E1_GMM,0.0211,3.3744,181.8387,7.0,0.0,
E2_UMAP_HDBSCAN,0.1373,1.8187,298.1878,2.0,0.0138,0.3282
E3_AE_GMM,0.1061,2.2129,262.8696,7.0,0.0,
E4_UMAP_HDBSCAN_GMM,0.132,1.8382,290.7405,2.0,0.0,
