日期,实际,HoltWinters预测,季节朴素预测
2025-04-17,3754.5,2242.9,2415.5
2025-04-18,3657.6,2158.7,3609.0
2025-04-19,3069.6,2518.1,3345.7
2025-04-20,4230.4,3218.6,2711.4
2025-04-21,2876.3,3650.3,4073.2
2025-04-22,5993.7,4510.9,5221.6
2025-04-23,3287.5,1558.8,0.0
2025-04-24,3599.1,2191.6,2415.5
2025-04-25,2999.2,2107.3,3609.0
2025-04-26,4465.2,2466.8,3345.7
2025-04-27,2553.2,3167.3,2711.4
2025-04-28,2657.6,3599.0,4073.2
2025-04-29,5966.4,4459.6,5221.6
2025-04-30,3466.1,1507.5,0.0
