群体,促销笔均金额,非促销笔均金额,朴素PromoLift,促销销售占比,DML因果效应,95%CI下,95%CI上
促销敏感型,27.67,15.53,1.782,0.3,-17.977,-56.089,20.135
促销敏感型2,24.36,13.77,1.77,0.49,1.172,-1.409,3.753
流失预警型,36.22,13.04,2.777,0.366,-12.134,-25.514,1.246
生鲜高频型,8.34,9.86,0.846,0.032,-1.93,-5.16,1.3
类目集中型,10.9,8.04,1.356,0.202,-3.245,-5.254,-1.236
高价值稳定型,13.13,8.38,1.568,0.199,-1.449,-2.218,-0.68
高价值稳定型2,17.16,10.51,1.633,0.24,-0.544,-1.679,0.591
