模型,K,HitRate,Recall,NDCG
二部图SVD嵌入,5,0.1222,0.0136,0.0285
二部图SVD嵌入,10,0.2056,0.024,0.0298
LightGCN(训练),5,0.2667,0.0354,0.0793
LightGCN(训练),10,0.3514,0.0526,0.072
