cluster,人数,R,F,M,促销,生鲜,类目熵,低价带,语义群体,群体销售额,销售贡献占比,人数占比
0,258,56.101,2.198,159.116,0.247,0.163,1.353,0.544,促销敏感型,41051.89,0.09,0.099
1,212,73.25,1.448,104.652,0.22,0.14,1.146,0.211,流失预警型,22186.29,0.049,0.081
2,534,27.049,9.288,415.007,0.159,0.36,2.642,0.193,高价值稳定型,221613.76,0.486,0.204
3,439,59.403,1.157,58.845,0.36,0.099,0.77,0.098,促销敏感型2,25832.84,0.057,0.168
4,680,32.022,2.932,177.722,0.187,0.167,1.952,0.179,高价值稳定型2,120851.03,0.265,0.26
5,253,54.383,1.209,48.918,0.027,0.863,1.003,0.205,生鲜高频型,12376.37,0.027,0.097
6,235,56.217,1.277,50.595,0.198,0.156,1.185,0.199,类目集中型,11889.72,0.026,0.09
