处理项目,数值/统计,说明
原始记录数,42816,—
错位行修复,2,规格含逗号致右移，已按金额/单价还原数量
完全重复行去除,3,剩余 42813
非法日期订正,2,如非闰年2/29→当月最后一天
日期范围,2025-01-01 ~ 2025-04-30,已派生 weekday/周末/周序
促销记录占比,0.1519,促销 6502 行
退货/异常行标记,93,is_return=1，不计入正向购买
单位归一后种类,43,千克/袋/盒/副等合并
规格空白填补,380,→未知规格
单价异常填补,2,同商品→同小类→全局中位数
数量缺失回填,0,金额/单价
